Analysis for Gold

ACCURACY REPORT:
Overall accuracy:                        0.31953071
Accuracy within 1 phone:                 0.56383713
Accuracy within 2 phones:                0.79848171
Average edit distance from gold:         0.28335268
Average feature edit distance from gold: 0.38441631

Performance associated with each phone in Gold
Phone in Gold	Associated final miss likelihood	Mean Associated Normalized Lev.Dist.	Mean Associated Feat Edit Dist
ˈa	|	0.6542635658914728	|	1.3875968992248062	|	0.3775491949910559
a	|	0.7571428571428571	|	1.5857142857142856	|	0.4359890109890113
l	|	0.6069651741293532	|	1.208955223880597	|	0.3492154611557596
ˈu	|	0.5435684647302904	|	1.0829875518672198	|	0.30521864028088086
n	|	0.7789256198347108	|	1.746031746031746	|	0.4102128030699464
ə	|	0.6745886654478976	|	1.45625	|	0.3722756410256408
d	|	0.6294117647058823	|	1.2678571428571428	|	0.3547390109890109
p	|	0.6492307692307693	|	1.3419354838709678	|	0.3471464019851115
ˈo	|	0.6736842105263158	|	1.4105263157894736	|	0.42570850202429167
s	|	0.5822368421052632	|	1.1672240802675586	|	0.32319269359403113
t	|	0.6478555304740407	|	1.4545454545454546	|	0.38245307324254724
w	|	0.8571428571428571	|	1.5714285714285714	|	0.48783359497645223
ɡ	|	0.6944444444444444	|	1.719626168224299	|	0.4058231488138031
e	|	0.728	|	1.6754385964912282	|	0.4261555330634284
v	|	0.9873417721518988	|	2.5	|	0.879684418145957
ˈə	|	0.8	|	2.066666666666667	|	0.5282051282051282
r	|	0.7190542420027817	|	1.5417298937784523	|	0.3894595541029534
ˈi	|	0.7868852459016393	|	1.7486338797814207	|	0.4459857082807905
ʒ	|	0.59375	|	1.25	|	0.31490384615384615
d͡ʒ	|	0.6029411764705882	|	1.1343283582089552	|	0.27927669345579786
u	|	0.6926406926406926	|	1.5	|	0.4291723901098898
j	|	0.8917525773195877	|	2.424083769633508	|	0.6476037051953278
ˈe	|	0.7245508982035929	|	1.748502994011976	|	0.43470750806080144
i	|	0.8888888888888888	|	2.2857142857142856	|	0.5340659340659345
m	|	0.717741935483871	|	1.5040983606557377	|	0.3493852459016391
t͡s	|	0.9444444444444444	|	2.1954022988505746	|	0.4818744473916889
o	|	1.0	|	2.3823529411764706	|	0.3987556561085972
k	|	0.7123287671232876	|	1.553314121037464	|	0.417701174905786
o̯	|	0.5072463768115942	|	1.1014492753623188	|	0.30518394648829433
t͡ʃ	|	0.6567164179104478	|	1.4609375	|	0.3553185096153847
b	|	0.7037037037037037	|	1.4476190476190476	|	0.3697802197802197
ɨ	|	0.9017857142857143	|	2.588785046728972	|	0.5014378145219268
ˈɨ	|	0.9090909090909091	|	1.7159090909090908	|	0.33457167832167856
f	|	0.6545454545454545	|	1.3394495412844036	|	0.36485532815808064
z	|	0.8529411764705882	|	1.6470588235294117	|	0.31900452488687775
e̯	|	0.8181818181818182	|	2.3181818181818183	|	0.6646270396270397
ʃ	|	0.8787878787878788	|	2.242424242424242	|	0.5335081585081586
